x,Video Title,Video Reference,Priority Script ,Verbal Hook,Text hook,Caption,Hashtags,Poll Topic,Date recorded,Script,Editing ,Video link,Approved ,With captions,Thumbnail link,Charlotte Socials,,,,View,Like,Comment,Post to socials,Date posted (Pie),Date posted (Char),SEG sales,Date posted (PodCast),Carousel,Carousel doc/ Story ,Figma image files,Carousel Posted,,Video key feedback,Date posted (Char),Date posted (Pie)
Robin business,CTA LABOUR GOV,R1,FALSE,,,,,,11/09/24,,,https://f.io/6YInP1zX,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,"Will need B-Roll, this is a content cut ONLY. We can use B roll not only of the app, of staff, and of our pie-oneers using the app once we film with them, as well as stock from Artlist.",FALSE,,FALSE,,,FALSE,FALSE,,,
Robin business,FAMILY TAX,R2,FALSE,,,,,,11/09/24,,,wide screen https://f.io/FoR-4J9m,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,"Will need B-Roll, this is a content cut ONLY. We can use B roll not only of the app, of staff, and of our pie-oneers using the app once we film with them, as well as stock from Artlist.",FALSE,,FALSE,,,FALSE,FALSE,,,
Robin business,FEATURES INCOMING,R3,FALSE,,,,,,11/09/24,,,https://f.io/6YInP1zX,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,"Will need B-Roll, this is a content cut ONLY. We can use B roll not only of the app, of staff, and of our pie-oneers using the app once we film with them, as well as stock from Artlist.",FALSE,,FALSE,,,FALSE,FALSE,,,
Robin business,PIE-ONEERS INNOVATION WHEEL,R4,FALSE,,,,,,11/09/24,,,https://f.io/6YInP1zX,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,"Will need B-Roll, this is a content cut ONLY. We can use B roll not only of the app, of staff, and of our pie-oneers using the app once we film with them, as well as stock from Artlist.",FALSE,,FALSE,,,FALSE,FALSE,,,
Robin business,STORY ALT VERSION,R5,FALSE,,,,,,11/09/24,,,https://f.io/6YInP1zX,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,"Will need B-Roll, this is a content cut ONLY. We can use B roll not only of the app, of staff, and of our pie-oneers using the app once we film with them, as well as stock from Artlist.",FALSE,,FALSE,,,FALSE,FALSE,,,
Robin business,SUBSCRIPTION MODEL,R6,FALSE,,,,,,11/09/24,,,https://f.io/6YInP1zX,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,"Will need B-Roll, this is a content cut ONLY. We can use B roll not only of the app, of staff, and of our pie-oneers using the app once we film with them, as well as stock from Artlist.",FALSE,,FALSE,,,FALSE,FALSE,,,
Robin business,THE CHALLENGE OF THE APP,R7,FALSE,,,,,,11/09/24,,,https://f.io/6YInP1zX,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,"Will need B-Roll, this is a content cut ONLY. We can use B roll not only of the app, of staff, and of our pie-oneers using the app once we film with them, as well as stock from Artlist.",FALSE,,FALSE,,,FALSE,FALSE,,,
Tax tip / how to,HMRC’s Closing Self Assessment!,V136,FALSE,Did you know this shocking fact about HMRC?,HMRC is Closing Their Website - Are You Ready?,"HMRC’s Self Assessment site is shutting down in 2026! 😱 But don't panic! With Pie Tax, you can sort your tax returns with zero hassle. It's easy, free, and stress-free! #SelfAssessment #PieTax #HMRC 👌💰",#HMRC #SelfAssessment #MoneyMatters #Tax #Entrepreneurship #FinanceTips #UKFinance,Are you ready for HMRC’s Self Assessment shutdown?,,Scripts,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
Tax tip / how to,How to Prepare for HMRC Changes,V137,FALSE,This major change is coming – are you ready?,Big Changes to HMRC – What You Need to Do!,"Big changes are coming! HMRC’s site is closing, but Pie Tax makes sure you’re prepared in advance. 😎 Tax returns have never been easier. Download Pie now – it’s free! 📲 #HMRC #TaxTips #MoneyMoves 💼",#UKFinance #WealthBuilding #TaxTips #BusinessGrowth #SelfEmployed #TaxReturnMadeEasy #HMRCNews,Will you miss the HMRC site for Self Assessment?,,Scripts,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
Tax tip / how to,Easy Self Assessment with Pie App,V138,FALSE,Why are so many people switching to this app for taxes?,Pie Tax App – The Easiest Way to Handle Self Assessment!,"Say goodbye to confusing tax forms! HMRC’s Self Assessment site may be closing, but with Pie, you won’t miss it. Get your taxes done in minutes – completely free! 🙌 #MoneyMatters #TaxSavings 💸",#EntrepreneurLife #TaxReturn #SelfAssessment #PieApp #TaxHelp #FinanceFreedom #BusinessTips,Do you already use apps to manage your taxes?,,Scripts,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
Tax tip / how to,Say Goodbye to HMRC’s Tax Website,V139,FALSE,HMRC’s website is going away – here’s what to do next.,HMRC Self Assessment is Shutting Down – Here’s How to Stay on Top of It!,"No more HMRC website? No worries! 😌 Pie has your back. Get all your tax sorted without the stress. It’s FREE – yes, really! 🙏 #PieTax #SelfAssessmentHelp 💼",#MoneySaving #BusinessOwner #TaxHelp #HMRC2026 #TaxChanges #FinancialFreedom #WealthCreation,Do you find online tax filing difficult?,,Scripts,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
Tax tip / how to,Why You Should Care About HMRC Closing,V140,FALSE,This change will affect your finances – find out how.,HMRC Website Shutdown – What Does It Mean for You?,"HMRC is closing their Self Assessment site by 2026, but don’t worry! 😅 Pie makes it super easy to handle your tax returns. Completely free, no headaches. Download now! 🚀 #TaxHacks #HMRCNews 🤑",#EntrepreneurUK #BusinessUK #MoneyManagement #UKTax #TaxReturnSimplified #PieTax #SelfEmployed,Are you worried about managing taxes after the HMRC shutdown?,,Scripts,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
sales video,Why Pie is a Game-Changer for Taxpayers,V141,FALSE,Here’s why everyone is talking about this new way to file taxes.,The Free App That’s Replacing HMRC’s Tax Return Website!,"Forget the HMRC site, Pie Tax has your tax needs covered. 😏 It’s free, it’s easy, and it’s your new best mate when it comes to self assessment. #TaxGameChanger 💪📱",#FinanceFreedom #TaxReturnSimplified #UKBusiness #MoneySmart #WealthManagement #PieTaxApp,Have you tried any tax apps like Pie?,,Scripts,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
Tax tip / how to,Why Is No One Talking About HMRC’s Big Change?,V142,FALSE,Why is no one talking about this?,HMRC’s Self Assessment Website is Closing – What You Need to Know!,"⚠️ Why is no one talking about this? HMRC’s Self Assessment site is shutting down by 2026, and it’s going to change how millions of us manage our taxes! 😱 Stay ahead of the curve by preparing now, so you’re not caught off guard. If you want more tips on how to keep your taxes stress-free, comment 'tax' below! 💡 #TaxHelp #HMRCChanges #FinanceFreedom 💰",#SelfAssessment #UKBusiness #HMRCNews #TaxSavings #Entrepreneurship #WealthBuilding #MoneyMatters,Are you aware of HMRC’s Self Assessment site closure in 2026?,,Scripts,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
visual metaphor,"£500 or £5,000? The Cost of a Missed Deadline",V143,FALSE,"What if I told you a £500 fine could snowball into £5,000? Here’s how…","How a £500 fine becomes £5,000 over time","Fines can start small but grow fast! Miss your tax return deadline, and you’re looking at £5,000 in penalties. Don't let it snowball – file on time and save yourself thousands. ⏳ 💸 Comment 'tax' below to sign up for my free tax-saving newsletter to avoid fines!",#tax #money #finance #selfassessment #business #wealth #entrepreneurship #taxfines #taxreturns #savemoney,"Poll: ""Have you ever missed a tax deadline?""",,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
visual metaphor,How Much Would You Overpay?,V144,FALSE,"You could be overpaying your taxes by £2,000 and not even know it. Are you making this mistake?","Could you be overpaying by £2,000 in taxes?","Missing deductions = overpaying taxes. That’s right – you could be losing £2,000 if you don’t claim the right allowances. 🧐💡 Use Pie Tax to maximise your savings! Comment 'tax' for tips!",#taxes #money #finance #taxsavings #business #entrepreneurship #wealth #personalfinance #savemoney #taxadvice,"Poll: ""Do you think you're overpaying in taxes?""",,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
visual metaphor,"Could You Afford to Lose £1,000?",V145,FALSE,"Most people don’t realise a £100 fine can turn into £1,000 if ignored. Don’t make this mistake!","Missing your tax return could cost you £1,000","Could you afford to lose £1,000 to tax penalties? It starts small but grows. Don’t let that happen. File on time with Pie Tax to avoid hefty fines! 📅💼 Comment 'tax' to join our free tax-saving newsletter for tips and updates.",#tax #money #finance #selfassessment #wealth #entrepreneurship #taxdeadlines #savemoney #business #penalties,"Poll: ""Would you pay a tax fine or fight it?""",,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
visual metaphor,"£3,000 Down the Drain",V146,FALSE,"Want to know how people accidentally lose £3,000 each year? It’s easier than you think…","Are you flushing £3,000 down the drain?","Are you claiming your business expenses correctly? Failing to do so could mean losing £3,000 in savings! 💼🧾 Make sure to use Pie Tax to maximise your deductions. Comment 'tax' for more money-saving tips!",#taxes #money #finance #expenses #selfassessment #business #entrepreneurship #taxadvice #wealth #savemoney,"Poll: ""Do you claim all your business expenses?""",,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
visual metaphor,"£100 Today, £1,600 Tomorrow",V147,FALSE,"Did you know a simple £100 fine for missing a tax deadline can balloon to £1,600 in just 6 months? Here’s how it happens…","How a £100 fine can turn into £1,600 fast","£100 today… £1,600 tomorrow. Late tax returns come with hefty penalties, so act fast! File with Pie Tax and save yourself from a nightmare scenario. 🚨📊 Comment 'tax' below to join our free newsletter for tax-saving tips.",#tax #finance #money #taxpenalties #selfassessment #wealth #entrepreneurship #savemoney #business #taxreturns,"Poll: ""Have you ever been late on a tax return?""",,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
visual metaphor,"Would You Throw £10,000 Out of a Helicopter?",V148,FALSE,"Would you ever throw £10,000 out of a helicopter? 🎯",Stop throwing away your hard-earned cash! 💸,Missing business expenses? You’re tossing money away! 💰 Track your expenses easily with Pie Tax and keep more in your pocket. Start saving today! 🚀,#TaxSavings #HMRC #BusinessExpenses #SelfEmployedUK #FinanceHacks #TaxTips #SaveMoney,"Poll: ""Have you ever missed a tax deduction?""",14/11/24,,,https://drive.google.com/file/d/12xcClzC7w6jo0cFxRGsMi0xgzj2CYW5R/view?usp=drive_link,TRUE,V148,V148 T,TRUE,FALSE,FALSE,FALSE,,,,,6/8/2025,3/9/2025,FALSE,,FALSE,,,FALSE,FALSE,,,
visual metaphor,"Setting £50,000 on Fire – Are You?",V149,FALSE,"Would you ever set £50,000 on fire? You’d be shocked at the reason why…","Setting £50,000 on Fire: Are You?","Would you set £50,000 on fire? Ignoring your taxes could be just as destructive. 🔥💵 Stop losing cash! File with Pie Tax today. Comment 'tax' for tips!",#money #finance #selfassessment #tax #business #wealth #burningcash #entrepreneurship #taxhelp #savemoney,"Poll: ""What’s the biggest tax fine you’ve paid?""",211124,,,https://drive.google.com/file/d/1ghDfITwmlMZazv2GHR0JzjlqRnalAl7I/view?usp=drive_link,TRUE,V149 ,V149 T,TRUE,TRUE,FALSE,FALSE,,,,https://docs.google.com/document/d/1ieVxP41hhY7QxgIjJ-Tw0koZbaz43B-z-RU0RkQmsgE/edit?usp=drivesdk,3/23/2025,1/28/2025,FALSE,,FALSE,,,FALSE,FALSE,,,
visual metaphor,"Feeding £20,000 to a Shredder – Are You?",V150,FALSE,"What if I told you that you’re feeding £20,000 straight into a shredder? And most people don’t even realise it…","Why Shred £20,000? Avoid This Common Mistake",Why are you shredding your money? Every unclaimed deduction is cash down the drain. 🚨 Use Pie Tax to claim your deductions! Comment 'tax' for tips!,#tax #money #finance #business #entrepreneurship #taxhelp #taxdeductions #wealth #savemoney #selfassessment,"Poll: ""Have you ever missed claiming expenses?""",,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
visual metaphor,"Burying £100,000 in the Ground – Why?",V151,FALSE,"Why are people burying £100,000 in the ground, never to see it again? This might shock you.","Would You Bury £100,000? Here’s Why You Are","Burying your money? Not filing your taxes properly is like burying £100,000 forever. 💰 Use Pie Tax to claim what's yours. Comment 'tax' for tips!",#money #finance #entrepreneurship #wealth #tax #business #selfassessment #savemoney #taxhelp,"Poll: ""Do you claim all your tax allowances?""",,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
visual metaphor,"Lifetime of Missed Expenses – £500,000 Lost?",V152,FALSE,"Imagine cutting up £500,000 piece by piece. You could be doing this and not even realise.","Are You Slicing Up £500,000 in Lost Tax Relief?","Losing £500,000 over your lifetime just by missing business expenses? That’s the cost of not claiming them. ✂️📉 Use Pie Tax to claim it all! Comment 'tax' for tips!",#tax #money #finance #lifetimecost #business #entrepreneurship #wealth #taxdeductions #selfassessment #savemoney,"Poll: ""Do you track all your business expenses?""",,,,,TRUE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
visual metaphor,Ignoring Your Taxes? It’s Like Walking Blindfolded on a Tightrope,V153,FALSE,Walking a tightrope blindfolded over a canyon. One wrong step and it's all over…,Ignoring Taxes? You’re Walking Blindfolded!,"Are you walking blindly with your taxes? Missing deadlines or ignoring tax filings is like walking a tightrope – one wrong step, and disaster strikes. Use Pie Tax to stay safe! 🎯 Comment ‘tax’ below for tips.",#tax #finance #money #selfassessment #business #entrepreneurship #taxhelp #wealth #tightrope #taxdeadlines,"Poll: ""Do you feel stressed about tax deadlines?""",,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
visual metaphor,Filing Taxes Late? It’s Like Having No Brakes in a Speeding Car,V154,FALSE,Imagine speeding down a mountain road with no brakes. You won't believe where this ends.,Filing Taxes Late? You Have No Brakes!,Filing taxes late is like driving without brakes – things can spiral out of control fast! 🚗💥 Stay on top of your deadlines with Pie Tax to avoid a financial crash. Comment ‘tax’ for more tips!,#tax #money #business #finance #entrepreneurship #taxdeadlines #selfassessment #taxhelp #wealth #savemoney,"Poll: ""Have you ever filed your taxes late?""",,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
visual metaphor,Not Tracking Expenses? It’s Like Trying to Fill a Leaking Bucket,V155,FALSE,"Imagine pouring water into a bucket with holes. No matter how hard you try, it's never enough…",Are Your Expenses Leaking Away?,"Tracking your expenses is key to keeping your savings. Without it, it's like trying to fill a bucket with holes. 🪣📉 Stop the leak with Pie Tax! Comment ‘tax’ below for more tax-saving tips.",#tax #money #finance #expenses #business #entrepreneurship #taxhelp #leakingbucket #selfassessment #wealth #savemoney,"Poll: ""Do you track all your business expenses?""",21/11/24,,,https://drive.google.com/file/d/1Hoa2UmZ4lz3pTA6aal7meGdnDXXQ3a-A/view?usp=drive_link,TRUE,V155,V155 - T,TRUE,TRUE,FALSE,FALSE,,,,,6/15/2025,3/1/2026,FALSE,,FALSE,,,FALSE,FALSE,,,
visual metaphor,Miss Your Tax Deadline? It’s Like Playing Russian Roulette,V156,FALSE,Playing Russian Roulette with your finances. It only takes one pull of the trigger…,Missing Tax Deadlines? You’re Playing Russian Roulette!,"Missing tax deadlines is like playing Russian Roulette with your finances – one mistake, and you're hit with fines. 🎯🔫 Stay safe with Pie Tax's deadline reminders! Comment ‘tax’ for tips!",#tax #money #finance #russianroulette #selfassessment #entrepreneurship #business #taxhelp #wealth #savemoney #taxdeadlines,"Poll: ""Have you ever been fined for missing a tax deadline?""",,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
visual metaphor,Not Filing Your Taxes? It’s Like Ignoring a Growing Fire in Your Home,V157,FALSE,Imagine sitting calmly while a fire starts in your living room. Ignoring it won’t make it go away…,Not Filing Taxes? It’s Like Ignoring a Fire!,"Ignoring your taxes is like ignoring a fire in your home – it’ll spread, and soon it’ll be too late. 🔥🧯 Use Pie Tax to put out the flames before it’s too late. Comment ‘tax’ for free tips!",#tax #money #finance #entrepreneurship #business #selfassessment #taxhelp #fire #wealth #savemoney,"Poll: ""Do you worry about your tax filings?""",,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
visual metaphor,Filing Taxes Late? It’s Like Letting Champagne Go Flat,V158,FALSE,Imagine opening a bottle of luxury champagne and letting it go flat. Why would you waste something so valuable?,Are You Letting Your Taxes Go Flat?,Filing taxes late is like letting champagne go flat – you’re losing value. Keep things fresh and efficient with Pie Tax! 🥂📅 Comment 'tax' for tips!,#tax #champagne #money #finance #wealth #business #entrepreneurship #selfassessment #luxurylifestyle #taxdeadlines,"Poll: ""Have you ever missed a tax deadline?""",21/11/24,,,https://drive.google.com/file/d/1sBBtq8C8KpYEpUt7bhlXLOEOZtGy87ba/view?usp=drive_link,TRUE,V158,V158 thumbnail,TRUE,FALSE,FALSE,FALSE,,,,,5/25/2025,1/26/2025,FALSE,,FALSE,,,FALSE,FALSE,,,
visual metaphor,Not Tracking Expenses? It’s Like Wearing a Tailored Suit That Doesn’t Fit,V159,FALSE,"What’s worse than buying a luxury suit that doesn’t fit? You’re missing out on perfection, just like with untracked expenses.",Not Tracking Expenses? It’s Like Wearing a Bad Suit!,"If you’re not tracking your expenses, it’s like wearing a suit that doesn’t fit – the details matter. 💼👔 Get Pie Tax to tailor your taxes perfectly!",#tax #expenses #business #finance #wealth #entrepreneurship #luxury #tailoredsuit #selfassessment #savemoney,"Poll: ""Do you track all your business expenses?""",,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
visual metaphor,Ignoring Tax Deductions? It’s Like Owning a Supercar and Leaving It in the Garage,V160,FALSE,"Imagine owning a supercar and never driving it. You’re letting its potential go to waste, just like ignoring tax deductions.",Are You Leaving Tax Deductions in the Garage?,Not claiming tax deductions is like keeping a supercar locked in the garage – unleash the full potential of your finances with Pie Tax. 🏎💸 Comment 'tax' for tips!,#taxdeductions #money #finance #entrepreneurship #supercar #wealth #business #taxhelp #selfassessment #savemoney,"Poll: ""Have you ever missed claiming deductions?""",,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
visual metaphor,Miss Your Tax Deadline? It’s Like Showing Up Late to a Black-Tie Event,V161,FALSE,Showing up late to a black-tie event means you miss out on all the opportunities. It’s the same with your taxes.,Missing Deadlines? It’s Like Being Late to an Event!,Missing your tax deadlines is like showing up late to an exclusive event – you miss the best opportunities. 🎩⏳ Stay on time with Pie Tax! Comment 'tax' for tips!,#tax #taxdeadlines #money #finance #blacktie #entrepreneurship #business #selfassessment #wealth #savemoney,"Poll: ""Do tax deadlines stress you out?""",,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
visual metaphor,Not Using Pie Tax? It’s Like Using a Flip Phone at a Business Meeting,V162,FALSE,Imagine showing up at a business meeting with a flip phone while everyone else uses cutting-edge tech. You’re outdated and behind.,Outdated Tax Methods? It’s Like Using a Flip Phone!,Managing taxes the old way is like using a flip phone in a modern business world. Upgrade to Pie Tax and stay ahead. 📲💼 Comment 'tax' below for tips!,#tax #business #flipphone #finance #entrepreneurship #wealth #selfassessment #taxhelp #upgradeyourtaxes,"Poll: ""Do you still use traditional tax methods?""",,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
visual metaphor,Not Tracking Expenses? It’s Like Overwatering Your Plants,V163,FALSE,What if I told you that missing out on one simple thing could be costing you thousands? (#11),Are You Overwatering Your Financial Savings?,Tracking expenses keeps your finances healthy. Don’t let your savings drown in missed deductions! 🌿💧 Use Pie Tax to track everything. Comment 'tax' below!,#tax #money #business #finance #expenses #entrepreneurship #selfassessment #taxhelp #wealth #savemoney,"Poll: ""Do you track all your expenses?""",,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
visual metaphor,Ignoring Deductions? It’s Like Wearing Perfume and Not Smelling It,V164,FALSE,Ever wondered how many opportunities you’ve missed just by ignoring this simple step? (#62),Are You Ignoring Your Tax Deductions?,Missing tax deductions is like wearing perfume but not enjoying the scent – wasted potential. 💸✨ Use Pie Tax to capture every deduction. Comment 'tax' below!,#taxdeductions #money #finance #entrepreneurship #wealth #perfume #luxury #business #selfassessment,"Poll: ""Do you claim all your tax deductions?""",,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
sales video,Not Filing on Time? It’s Like Brewing Tea and Letting It Go Cold,V165,FALSE,Would you ever wait until it’s too late to claim what’s rightfully yours? (#79),Are You Letting Your Tax Savings Go Cold?,Filing late is like letting tea go cold – you miss out on the best savings. ☕⏳ Use Pie Tax to file on time and keep your savings fresh. Comment 'tax' below!,#tax #money #finance #selfassessment #tealover #business #entrepreneurship #taxdeadlines #wealth,"Poll: ""Do you struggle with filing on time?""",14/11/24,,,https://drive.google.com/file/d/1uthIMqSGvFZbwitJzHlc2bRtJfn6CQ9V/view?usp=drive_link,TRUE,V165,V165 T,TRUE,FALSE,FALSE,FALSE,,,,,,3/16/2025,FALSE,,FALSE,,,FALSE,FALSE,,,
visual metaphor,Missing Deductions? It’s Like Leaving Ingredients Out of a Gourmet Recipe,V166,FALSE,Here’s why forgetting this one thing can cost you thousands... (#153),Are You Leaving Key Deductions Out of Your Recipe?,"Just like a gourmet dish missing ingredients, missing tax deductions costs you more. 🍽️💼 Maximise your tax savings with Pie Tax. Comment 'tax' below!",#tax #finance #business #entrepreneurship #gourmet #selfassessment #taxhelp #wealth #savemoney,"Poll: ""Have you ever missed claiming deductions?""",,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
visual metaphor,Not Using Pie Tax? It’s Like Trying to Write with a Fountain Pen That’s Out of Ink,V167,FALSE,Would you ever walk away from money you’re entitled to? (#243),Is Your Tax Process Running Out of Ink?,"Outdated tax methods are like a dry fountain pen – inefficient and frustrating. 🖋️📉 Upgrade with Pie Tax for smooth, stress-free filing. Comment 'tax' below!",#tax #finance #business #entrepreneurship #fountainpen #wealth #selfassessment #savemoney,"Poll: ""Do you still use traditional tax methods?""",,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
visual metaphor,Filing Taxes Late? It’s Like Letting Champagne Go Flat,V168,FALSE,Why do people let opportunities slip through their fingers? They just don’t know what they’re missing. (#301),Why Are You Letting Your Tax Opportunities Go Flat?,Filing late is like letting champagne go flat – you lose value. 🥂🍾 File with Pie Tax to keep everything sparkling! Comment 'tax' below for tips!,#tax #money #business #finance #champagne #entrepreneurship #selfassessment #taxdeadlines #wealth #luxurylifestyle,"Poll: ""Have you ever missed a tax deadline?""",,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
visual metaphor,Not Tracking Expenses? It’s Like Wearing Expensive Shoes That Hurt,V169,FALSE,Most people don’t even realise they’re missing out on this one simple thing... (#193),Are You Missing Out on Key Tax Deductions?,Not tracking your expenses is like wearing expensive shoes that hurt – you’re paying the price but not enjoying the benefits. 👠💸 Use Pie Tax to track it all!,#tax #money #finance #expenses #business #entrepreneurship #luxury #taxhelp #selfassessment #wealth,"Poll: ""Do you track all your business expenses?""",,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
visual metaphor,Filing Late? It’s Like Letting Fresh Flowers Wilt,V170,FALSE,Why would you ever let something that’s in perfect condition go to waste? (#121),Are You Letting Your Tax Opportunities Wilt?,Filing late is like letting fresh flowers wilt – the opportunity is gone before you know it. 🌸⏳ Stay fresh with Pie Tax. Comment 'tax' below for tips!,#tax #finance #entrepreneurship #wealth #flowers #selfassessment #business #taxhelp #savemoney,"Poll: ""Do you struggle with deadlines?""",,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
visual metaphor,Missing Deductions? It’s Like Leaving the Lights On When You’re Not Home,V171,FALSE,What’s worse than paying for something but never getting to use it? (#198),Are You Leaving Your Tax Savings on Without Realising?,Missing deductions is like leaving the lights on – wasting money without even knowing it. 💡💸 Use Pie Tax to track everything and save! Comment 'tax' below!,#tax #money #finance #business #entrepreneurship #taxhelp #deductions #selfassessment #savemoney,"Poll: ""Have you ever missed claiming deductions?""",,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
visual metaphor,Missing Deadlines? It’s Like Letting Ice Melt in Your Drink,V172,FALSE,What if I told you that being late could cost you more than you think? (#45),Are You Letting Your Tax Savings Melt Away?,Missing deadlines is like letting ice melt – you lose the cool opportunity for savings. 🧊🍹 Use Pie Tax to stay on time and keep your savings intact. Comment 'tax' below!,#tax #money #finance #entrepreneurship #taxhelp #deadlines #savemoney #selfassessment #wealth,"Poll: ""Do tax deadlines stress you out?""",,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
Premium brand video ideas,Your Taxes Are Broken. Let’s Fix That.,V173,FALSE,What if I told you the system you rely on is broken? (#187),“Your Taxes Are Broken. It’s Time for an Upgrade.”,"The old way of doing taxes? It’s broken. Pie Tax is the upgrade you’ve been waiting for – smooth, fast, and effortless. Comment ‘tax’ below to discover how Pie Tax can fix your finances today.",#tax #finance #entrepreneurship #innovation #broken #taxrevolution #savemoney #business,Poll: Do you feel like the tax system is outdated?,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
Premium brand video ideas,Game Over? Only If You’re Not Using Pie Tax,V174,FALSE,Why are most people losing the tax game? They don’t know this secret... (#34),“Are You Losing the Tax Game? Level Up Now.”,"Stop playing to lose. With Pie Tax, you can turn tax filing into a win every time. It’s fast, easy, and helps you maximise savings. Comment ‘tax’ below to unlock the next level.",#tax #finance #gamechanger #levelup #entrepreneurship #business #taxhelp #savemoney #wealth,Poll: Do you feel like taxes are a game you can’t win?,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
Premium brand video ideas,File Taxes Like You’re Driving a Supercar,V175,FALSE,What if filing your taxes could be as smooth as driving a supercar? (#112),“File Your Taxes Like You’re Driving a Supercar.”,"Smooth, fast, in control. Filing taxes with Pie Tax is like driving a supercar – it puts you in the driver’s seat of your finances. Comment ‘tax’ below to take control today.",#tax #finance #entrepreneurship #luxury #business #taxhelp #savemoney #supercar #wealth,Poll: Do you feel in control of your taxes?,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,,
